date,prize_1st,prize_pre_3digit,prize_sub_3digits,prize_2digits,nearby_1st,prize_2nd,prize_3rd,prize_4th,prize_5th
2018-05-16,075629,"['357', '130']","['506', '047']",20,"['075628', '075630']","['203990', '230697', '405298', '522716', '848061']","['007281', '228983', '258521', '406294', '491101', '703747', '733558', '744144', '764684', '768131']","['001115', '026618', '028551', '028632', '076740', '085902', '096366', '106250', '114031', '135212', '180719', '205225', '213791', '225225', '249720', '256331', '297679', '306721', '330685', '348113', '353739', '386801', '402467', '410625', '427514', '469885', '484094', '500025', '519079', '568553', '584169', '628514', '653036', '667960', '709924', '772757', '776321', '783189', '789800', '808230', '813660', '836746', '849108', '855935', '881331', '885369', '934541', '945562', '966872', '992376']","['011812', '015899', '022073', '023183', '033671', '038980', '054013', '080817', '084045', '096683', '107885', '113075', '115421', '130113', '130939', '135154', '144842', '144982', '154301', '163246', '163833', '164318', '168714', '169298', '174247', '178737', '186542', '205578', '220178', '238317', '245380', '251608', '259308', '266637', '270206', '283228', '293761', '297340', '306635', '324208', '331079', '346985', '352480', '361253', '362589', '375309', '380510', '389974', '401309', '406069', '426929', '430781', '458230', '465158', '475243', '508043', '510772', '511431', '524144', '547312', '562323', '567870', '575635', '585436', '589153', '590408', '591047', '597618', '605840', '609104', '610240', '631225', '638711', '640672', '649928', '659669', '661162', '667891', '676382', '680102', '697794', '713051', '719274', '756595', '778500', '811706', '836279', '840575', '844037', '887323', '893773', '902162', '918136', '933854', '947582', '951949', '966200', '971215', '974388', '981062']"
2018-05-02,248038,"['527', '980']","['225', '602']",85,"['248037', '248039']","['185527', '641391', '841673', '855399', '921737']","['001362', '097365', '249340', '304210', '329279', '528294', '552438', '772027', '848383', '932701']","['042063', '072753', '194424', '281278', '370042', '416581', '511639', '681187', '862294', '900725', '048956', '083306', '222527', '299877', '384343', '418170', '534131', '723741', '882129', '911866', '050134', '161824', '248814', '312294', '386716', '453143', '598041', '770271', '890055', '949705', '051888', '182874', '256603', '313034', '399186', '466646', '627020', '810242', '893967', '953890', '057591', '193155', '269942', '363615', '407877', '486183', '645153', '836085', '897211', '957031']","['003799', '126883', '176265', '299032', '403568', '526983', '598200', '723554', '809105', '909822', '007458', '128951', '183679', '333943', '407570', '527014', '600588', '740187', '812143', '912684', '030846', '130964', '192371', '334239', '432693', '532548', '614853', '769400', '819906', '927990', '038617', '132415', '196002', '365434', '443514', '547675', '619118', '779214', '823979', '932251', '061060', '149627', '240082', '372519', '463154', '550067', '619848', '780435', '835323', '938440', '065931', '154023', '243564', '373934', '463434', '555769', '669236', '785578', '864059', '940839', '073020', '156333', '253161', '377317', '486360', '558162', '671041', '785769', '878432', '944009', '076795', '168497', '268730', '378049', '496219', '569806', '693830', '791444', '891952', '947240', '091184', '174491', '278174', '395494', '506383', '589168', '701289', '800475', '893174', '973090', '119566', '175856', '285086', '401883', '516606', '593307', '711398', '807253', '904427', '997119']"
2018-04-16,739229,"['273', '654']","['076', '526']",60,"['739228', '739230']","['004343', '255410', '484069', '729318', '752707']","['031824', '093588', '484283', '504806', '596118', '629281', '635275', '728582', '775373', '900658']","['033644', '176714', '272530', '336590', '400976', '519273', '618693', '655259', '765870', '858286', '053691', '181129', '275180', '346945', '475398', '529582', '623429', '659331', '795858', '911543', '054683', '236015', '288010', '352462', '476501', '559309', '624250', '665438', '818134', '917019', '079396', '243002', '306952', '375652', '503792', '612739', '641803', '681610', '827121', '979826', '105888', '260685', '330018', '388862', '514189', '616173', '653732', '697169', '855600', '984556']","['002977', '093959', '192754', '296444', '401866', '538285', '654364', '757351', '826604', '912087', '004717', '099817', '199175', '296545', '417119', '543929', '667308', '771855', '829547', '912332', '006466', '130721', '199451', '299719', '421020', '569008', '669905', '790416', '829934', '939485', '010223', '131088', '217504', '306035', '423032', '583104', '676994', '791987', '868640', '952445', '064942', '131846', '238094', '308616', '427164', '624916', '688349', '792171', '874364', '955162', '080965', '138560', '242762', '313152', '449801', '629214', '700322', '792299', '881092', '961613', '083488', '144199', '262522', '340700', '473417', '638533', '722788', '798649', '883593', '972249', '084470', '146765', '277461', '349760', '510007', '639401', '726693', '800756', '895224', '983932', '086572', '151087', '285384', '376286', '524817', '643179', '738106', '819204', '902984', '992853', '086937', '165061', '293069', '400981', '528000', '652354', '757338', '820713', '911829', '999810']"
2018-04-01,412073,"['131', '787']","['638', '924']",85,"['412072', '412074']","['051910', '249823', '391099', '427106', '467257']","['101094', '130951', '188987', '353775', '359609', '383759', '466229', '503647', '690617', '820723']","['004470', '143734', '239639', '373326', '435575', '515212', '595493', '671130', '825985', '938481', '024254', '147436', '242964', '375055', '465889', '528780', '619515', '680821', '853688', '968128', '026024', '164485', '267289', '381104', '474030', '530413', '624317', '790229', '869005', '980957', '067337', '170994', '335596', '400087', '485230', '533853', '638624', '791545', '920851', '984999', '133202', '236527', '360168', '432673', '514808', '535322', '647586', '807600', '928416', '987410']","['012733', '114613', '241563', '371861', '463729', '515827', '580610', '705800', '851637', '907896', '046217', '146727', '266274', '372582', '465497', '519499', '583070', '706870', '852001', '913717', '046540', '169829', '281768', '381572', '473938', '520252', '637720', '709304', '867611', '914087', '066444', '170207', '291316', '383686', '488365', '540986', '639815', '727646', '867872', '914512', '080323', '173691', '294304', '412270', '503272', '544271', '639819', '734384', '867992', '939671', '093002', '184176', '299987', '417124', '507671', '547624', '645600', '767999', '873299', '947246', '096373', '189915', '317078', '435876', '510605', '554678', '660546', '797387', '878569', '966477', '097831', '193216', '328990', '436444', '512356', '561460', '696113', '813890', '880524', '985425', '110460', '205475', '362439', '449369', '514347', '561638', '698519', '819525', '886610', '991458', '113749', '223882', '368277', '455373', '515046', '565242', '698553', '823232', '896317', '994281']"
2018-03-16,218559,"['064', '720']","['205', '489']",82,"['218558', '218560']","['197966', '452512', '525852', '599382', '713887']","['047089', '058213', '264692', '275487', '320270', '542603', '858618', '954249', '959641', '998667']","['010284', '066411', '228393', '336176', '420979', '533791', '668514', '719319', '852772', '959190', '023687', '122303', '240414', '356569', '486615', '539621', '669767', '726702', '905960', '965041', '046879', '133665', '252833', '382494', '490412', '589223', '670891', '752498', '914697', '971561', '059973', '161193', '263834', '385972', '506888', '602218', '691128', '801765', '932920', '971965', '061273', '217580', '284760', '392325', '512015', '607793', '705023', '836402', '933590', '994214']","['003995', '132184', '187148', '253863', '375660', '473788', '594262', '700054', '839474', '944017', '038248', '132463', '191534', '255937', '379333', '488035', '601391', '705726', '842980', '944933', '046175', '147417', '195727', '255995', '402471', '489226', '603196', '726760', '850618', '952827', '048236', '152020', '197316', '292784', '406089', '523076', '627233', '758013', '860336', '963151', '063084', '158910', '209261', '292954', '416077', '524798', '635455', '766904', '866627', '963153', '063231', '160483', '220323', '326430', '419750', '537587', '664219', '770729', '888783', '969425', '084533', '166838', '227768', '332866', '423530', '539757', '673485', '771567', '907240', '978383', '094212', '169960', '246602', '343873', '436415', '549910', '678950', '793530', '913350', '979567', '106984', '181040', '250174', '361719', '461583', '558854', '697554', '802980', '940177', '983723', '119200', '184657', '253830', '373748', '461795', '582041', '698057', '805470', '943362', '987982']"
2018-03-02,759415,"['318', '870']","['589', '723']",29,"['759414', '759416']","['349580', '512224', '741654', '847817', '968589']","['051847', '193810', '315630', '321385', '425611', '460143', '581582', '601005', '863360', '930214']","['015727', '102417', '185029', '296806', '371568', '478639', '621758', '779849', '839204', '933947', '026981', '103979', '210847', '303960', '390835', '498313', '693441', '784313', '851159', '954660', '045867', '126074', '240111', '327692', '398479', '503459', '698784', '785915', '864696', '983573', '070712', '152334', '273514', '352995', '430068', '544791', '716490', '801754', '894536', '990151', '076002', '169125', '287832', '361494', '443322', '554295', '750865', '835924', '910272', '994306']","['004981', '077812', '200418', '316252', '428060', '512784', '633033', '746954', '832527', '910988', '014457', '085405', '209754', '328938', '434244', '526177', '638841', '752628', '835575', '918245', '024682', '094672', '220381', '330559', '434842', '529317', '645336', '790901', '838127', '937239', '033463', '097708', '228411', '342789', '467021', '569966', '649458', '798339', '842461', '945681', '038047', '143457', '238839', '346820', '472058', '580596', '663095', '806804', '860866', '967730', '055924', '149945', '269176', '352349', '480166', '586403', '672259', '807790', '891309', '968658', '061679', '159934', '295378', '375417', '489883', '612687', '708698', '809022', '897474', '970069', '062141', '160420', '297330', '395440', '492351', '625162', '710373', '809742', '898484', '976427', '068241', '176100', '300371', '398210', '497518', '625434', '746684', '812475', '900803', '985027', '075465', '194019', '303591', '413416', '501558', '628783', '746951', '824971', '903575', '991249']"
2018-02-16,309915,"['007', '388']","['230', '748']",39,"['309914', '309916']","['008653', '172414', '476523', '897483', '978335']","['073826', '138750', '214038', '237810', '446034', '571080', '692602', '720737', '769017', '836929']","['006546', '008176', '070802', '080759', '125617', '145726', '156460', '169112', '214678', '233921', '240891', '254285', '270953', '272091', '273402', '300155', '303965', '305531', '329795', '331896', '341578', '359128', '387780', '390889', '394149', '443230', '445970', '454644', '462474', '506415', '506481', '511968', '518292', '528250', '528848', '575425', '575621', '579234', '604811', '687564', '781332', '846292', '860946', '887485', '942760', '951008', '965251', '973668', '974053', '995439']","['008067', '010239', '017346', '043161', '046848', '056317', '059822', '061762', '064890', '066156', '097066', '109571', '124012', '124575', '129078', '139113', '154872', '161522', '164411', '171324', '171483', '173928', '175058', '178178', '180101', '181156', '185151', '194284', '200694', '214140', '227199', '231901', '265766', '269728', '276774', '296607', '301026', '304520', '305081', '316789', '333402', '341583', '364699', '393484', '402020', '409530', '410508', '418779', '421883', '426796', '432021', '469348', '470792', '475398', '480994', '543875', '550374', '571281', '572845', '611619', '616216', '617222', '620165', '639766', '641809', '658512', '663398', '673396', '686580', '718655', '727044', '732405', '740830', '744276', '758963', '771767', '772038', '787628', '818097', '831228', '845285', '853277', '856535', '862485', '877513', '878100', '885444', '887186', '920600', '932911', '934584', '943071', '962087', '969370', '969899', '972082', '972301', '972303', '994609', '995916']"
2018-02-01,026853,"['106', '947']","['181', '519']",31,"['026852', '026854']","['176248', '625633', '669525', '713539', '958517']","['083574', '116158', '209320', '252942', '637456', '665506', '740707', '850651', '866388', '911157']","['035066', '181677', '262149', '307705', '327547', '428730', '490390', '675117', '754469', '898403', '062514', '200461', '263933', '311011', '346759', '428958', '505822', '691245', '772657', '915501', '069137', '204752', '283149', '318215', '389349', '438466', '535689', '704455', '812978', '935137', '088350', '220478', '302894', '318606', '391398', '447299', '607463', '727732', '835069', '960051', '096266', '229527', '306935', '325759', '405023', '482662', '650057', '737580', '849628', '960960']","['006005', '084349', '221989', '357612', '428345', '519335', '612449', '683640', '771426', '913936', '031284', '084626', '229276', '367346', '437208', '535995', '620902', '699599', '772856', '923582', '049109', '088951', '256455', '375677', '443273', '575388', '630488', '703792', '781037', '926633', '049196', '089228', '257581', '385593', '475423', '583338', '631541', '711901', '800724', '927106', '058017', '100324', '259693', '386828', '479950', '587958', '636961', '722232', '805474', '958319', '059231', '104221', '260540', '392450', '499368', '595636', '643520', '723933', '817195', '970760', '065098', '136559', '294128', '394001', '507825', '597950', '656321', '731917', '827587', '985643', '077032', '138769', '309661', '398047', '510979', '600933', '670003', '739645', '886577', '985723', '079112', '178417', '342654', '401239', '515188', '604742', '671801', '753310', '887141', '996189', '080159', '211688', '354820', '414925', '517164', '607708', '673111', '759686', '896225', '997298']"
2018-01-17,203823,"['624', '799']","['236', '397']",50,"['203822', '203824']","['116718', '343155', '483289', '824233', '975112']","['109826', '147219', '193892', '215855', '371726', '540866', '771571', '879177', '968571', '990812']","['005086', '042081', '058036', '103702', '106980', '158218', '175431', '176723', '210039', '211806', '247328', '258249', '261991', '267270', '275712', '304004', '319123', '381234', '401179', '446195', '488038', '521081', '521346', '526004', '543694', '559366', '567648', '572864', '598930', '600686', '606338', '608561', '610908', '632038', '695445', '784103', '785377', '824700', '841338', '875401', '876795', '884165', '891101', '918475', '920832', '934107', '938869', '947781', '964234', '975455']","['001199', '008087', '014898', '018216', '036819', '048563', '052294', '068031', '069074', '087804', '088435', '089065', '106221', '136148', '177009', '199481', '209065', '217039', '219000', '219023', '219175', '220272', '225529', '229409', '245350', '251032', '268700', '269685', '272184', '274365', '276769', '279510', '306722', '311937', '331999', '335836', '353106', '366759', '391353', '395528', '411747', '423949', '432513', '448901', '462708', '464249', '471565', '474572', '489156', '492228', '495403', '499049', '502545', '511367', '518931', '530300', '530341', '547186', '557662', '562788', '565276', '568179', '572672', '577660', '581415', '607616', '613964', '654135', '655078', '678269', '686054', '692723', '719826', '722215', '739890', '747278', '752874', '768497', '770904', '793940', '799958', '825132', '861991', '876267', '892189', '895133', '903873', '909881', '926672', '928508', '934688', '939654', '939803', '949992', '953829', '969613', '975410', '978432', '982798', '991039']"
2017-12-30,911234,"['495', '373']","['953', '504']",98,"['911233', '911235']","['086171', '514304', '758601', '856803', '872227']","['010001', '046314', '118009', '119676', '124051', '394820', '785457', '884944', '889258', '999853']","['017728', '058862', '113199', '141303', '153397', '155718', '156524', '171440', '176009', '201301', '205580', '229426', '243035', '261970', '280255', '318926', '329926', '333479', '382571', '424268', '426466', '434788', '443394', '447530', '462934', '467229', '484993', '583919', '592800', '598427', '601965', '619041', '641979', '662122', '686078', '697624', '702858', '750098', '807403', '830399', '872978', '881435', '912745', '916152', '920367', '924811', '928243', '932067', '943983', '961704']","['032894', '048896', '067655', '070841', '072551', '076266', '116247', '125255', '130000', '133298', '136369', '150611', '167510', '180229', '180958', '190544', '207706', '214305', '215753', '228278', '247617', '253246', '257574', '272644', '273107', '283852', '287446', '295794', '301209', '302592', '319141', '348094', '360371', '374131', '411924', '412925', '415012', '449752', '454012', '459777', '468376', '472667', '477421', '489304', '492150', '511914', '512140', '517245', '520896', '535860', '542443', '544909', '563933', '570029', '572291', '596198', '614414', '617970', '638386', '643180', '647925', '653836', '663461', '663587', '674132', '676077', '684430', '684839', '690517', '694216', '701825', '721167', '721367', '723836', '727680', '729884', '730523', '745063', '760321', '760803', '772180', '799194', '819977', '821080', '823527', '827941', '841028', '850297', '853720', '855061', '859371', '864622', '868228', '882232', '901594', '908899', '937839', '945083', '949138', '988216']"
2017-12-16,955596,"['616', '836']","['290', '938']",89,"['955595', '955597']","['176375', '427257', '536303', '655903', '900849']","['018285', '235552', '425831', '432883', '469455', '612820', '695859', '765964', '828161', '896598']","['025656', '099019', '206830', '255779', '314111', '342548', '396649', '508622', '748334', '842344', '026171', '106241', '212972', '272844', '314292', '345277', '396713', '511429', '781817', '851193', '031609', '114362', '218540', '273411', '318166', '354956', '401034', '517131', '804097', '864720', '031644', '129595', '226284', '286943', '327833', '377763', '408075', '629193', '809197', '977518', '038409', '165676', '251949', '311142', '328794', '385782', '507205', '675122', '831087', '992128']","['000080', '081890', '152972', '244897', '398541', '476373', '592143', '704454', '821365', '910486', '021581', '082423', '153659', '271978', '410655', '491519', '595629', '706964', '825306', '918083', '056261', '089940', '173506', '281860', '417891', '492126', '653905', '720050', '826557', '918281', '058623', '098892', '197154', '286351', '420512', '494225', '664508', '721153', '830865', '929482', '062352', '101550', '204946', '289548', '426367', '501321', '664901', '765586', '836897', '929838', '065158', '115024', '207927', '291381', '426449', '506712', '669804', '804944', '848205', '935883', '069655', '134797', '209308', '292521', '434746', '511539', '670923', '809359', '871865', '944016', '076643', '135639', '214468', '335286', '436100', '517240', '680967', '809618', '880521', '949887', '078315', '146037', '226938', '343563', '442709', '532147', '684607', '814312', '885530', '962196', '079035', '147914', '229310', '348198', '473504', '548165', '689483', '814745', '909607', '987989']"
2017-12-01,451005,"['626', '303']","['601', '257']",33,"['451004', '451006']","['012591', '039045', '448892', '477450', '932501']","['037832', '091100', '135938', '201592', '428682', '584632', '650144', '762782', '880676', '912321']","['024010', '078033', '147671', '257622', '471342', '530910', '619509', '761457', '855057', '910781', '026677', '079707', '167413', '286951', '475297', '559491', '666149', '787329', '861751', '942497', '038018', '104111', '187624', '332735', '500325', '564423', '716442', '815570', '884099', '943759', '057130', '114416', '213972', '397699', '500500', '565704', '731969', '818521', '904599', '974840', '060106', '126736', '242096', '432456', '512451', '565721', '750927', '836315', '910732', '985846']","['002067', '061128', '131651', '275200', '369621', '476223', '608621', '702745', '830525', '908663', '011438', '062157', '144069', '287127', '391062', '486648', '620463', '731624', '830973', '926736', '017368', '069972', '146685', '294397', '412771', '495665', '622245', '738383', '844399', '935523', '038276', '081836', '183603', '303755', '413631', '525983', '628884', '742283', '850515', '948083', '041274', '082470', '195203', '312191', '414258', '535453', '650962', '766006', '861386', '953238', '043553', '097162', '202825', '312203', '424966', '538073', '657935', '767692', '861909', '963118', '046610', '119589', '211896', '321183', '444286', '563770', '667726', '792429', '875550', '975093', '048038', '121729', '249765', '327689', '449860', '583219', '675716', '793746', '879960', '982618', '054706', '128211', '266684', '352219', '457455', '590187', '681400', '794068', '887640', '990031', '055623', '131524', '268883', '358856', '467441', '600905', '702373', '802693', '894715', '995571']"
2017-11-16,292391,"['831', '961']","['477', '628']",98,"['292390', '292392']","['021700', '135424', '357956', '642849', '803665']","['073181', '168344', '228437', '248877', '263038', '309007', '312411', '592098', '666338', '687418']","['043852', '136984', '306091', '418208', '583735', '611952', '654880', '761758', '843736', '950736', '077406', '162108', '323268', '457484', '583903', '612774', '692971', '773574', '873963', '969400', '101685', '210673', '351935', '505130', '590052', '624395', '715607', '796973', '885485', '974831', '112661', '263683', '392581', '527734', '600828', '644405', '721771', '811839', '899073', '986391', '113126', '299353', '415566', '561729', '608794', '650026', '724388', '814596', '930909', '999667']","['015218', '124903', '176169', '370281', '424234', '517595', '658210', '762745', '814789', '927312', '025147', '130065', '220511', '372925', '445210', '540387', '665445', '764627', '833506', '933811', '065767', '133507', '233329', '374623', '460255', '587732', '679592', '765114', '834542', '953426', '085407', '133968', '243962', '379050', '466901', '600995', '686727', '772325', '844899', '963251', '093394', '136913', '254388', '379836', '468042', '601748', '691884', '773734', '876094', '970163', '096070', '147516', '261511', '379983', '468182', '606080', '697516', '774653', '888594', '973141', '103903', '150620', '278663', '404753', '474126', '617959', '711955', '776336', '889521', '974059', '108318', '162438', '297622', '408627', '493735', '620572', '734355', '784913', '901235', '977374', '114164', '167432', '310942', '413182', '499981', '626012', '744232', '793698', '910145', '985180', '120277', '172433', '367290', '423662', '503076', '641872', '761140', '807242', '925550', '992814']"
2017-11-01,533726,"['165', '425']","['485', '036']",85,"['533725', '533727']","['207204', '440879', '497237', '617980', '951035']","['195866', '221435', '271632', '331751', '356817', '578206', '643292', '824536', '852509', '965400']","['001263', '125838', '216680', '281155', '428264', '521350', '570718', '698919', '773706', '877149', '009858', '129205', '227663', '302041', '450928', '540510', '575848', '712207', '775833', '889479', '070880', '145388', '240610', '379756', '469579', '543337', '607203', '724415', '788521', '926624', '104008', '156493', '247967', '383075', '473765', '556546', '622114', '738140', '834022', '931437', '124404', '203055', '268386', '411755', '501283', '557169', '696245', '764510', '873762', '956856']","['006555', '098597', '210554', '324029', '424320', '528172', '615441', '741700', '857793', '929052', '007883', '106578', '229044', '329876', '429901', '528280', '617283', '765199', '867177', '932719', '017809', '113286', '230161', '364734', '456938', '537719', '618915', '780694', '873490', '942028', '019293', '122017', '235006', '372221', '463861', '542591', '640249', '798210', '878860', '945762', '038276', '145821', '252163', '396723', '467003', '544322', '647038', '826783', '892015', '952213', '044624', '150996', '260500', '399108', '485599', '548390', '670524', '830187', '899309', '954310', '047020', '154176', '266801', '400566', '489312', '554191', '695390', '843336', '901466', '957227', '051909', '187116', '269421', '401648', '512292', '568991', '698328', '845846', '911913', '966534', '070407', '194007', '279935', '406118', '522529', '573434', '713448', '849567', '924447', '972987', '095244', '203781', '298608', '410462', '525959', '574226', '730669', '855583', '928129', '975753']"
2017-10-16,413494,"['180', '971']","['128', '287']",86,"['413493', '413495']","['113700', '192717', '523302', '626487', '846800']","['046495', '134024', '204205', '318373', '357001', '414157', '569159', '600826', '624020', '803589']","['017024', '116496', '292027', '328027', '463294', '540594', '613846', '702727', '763565', '860365', '056921', '129820', '307089', '348507', '480177', '547664', '646381', '725252', '776484', '899615', '058280', '137073', '313446', '361895', '497524', '595201', '652287', '725822', '817179', '934745', '099681', '226748', '323864', '391310', '497893', '604164', '664593', '741664', '823930', '992771', '101306', '260248', '327633', '432105', '524699', '612382', '702438', '748495', '836619', '994690']","['008099', '109938', '241766', '338312', '462609', '529647', '635206', '726611', '857184', '928109', '013532', '137909', '248040', '346955', '475450', '543026', '640086', '750503', '862625', '935412', '014638', '143805', '253847', '368619', '478565', '545636', '652379', '756877', '867268', '938536', '076957', '149733', '254124', '384767', '478979', '558721', '656705', '763875', '875810', '940476', '084137', '188677', '256289', '400620', '479308', '597263', '662356', '793759', '900414', '940481', '084909', '192860', '268359', '409226', '488979', '609776', '665463', '796049', '902792', '949770', '087753', '205546', '294885', '419310', '489806', '616743', '688176', '806778', '908647', '961345', '091763', '208042', '296516', '426871', '507750', '621337', '701090', '817897', '910924', '977679', '096318', '214379', '319542', '451438', '509636', '621605', '701409', '828549', '912311', '982492', '105723', '230647', '331634', '457786', '519246', '626879', '707301', '837413', '915849', '984770']"
2017-10-01,880714,"['611', '726']","['462', '952']",52,"['880713', '880715']","['132325', '442603', '769598', '799449', '872750']","['067352', '068861', '223485', '244469', '277129', '293449', '455352', '653688', '721341', '915956']","['016757', '046802', '053548', '067255', '069335', '091101', '143243', '178984', '215973', '232802', '239340', '239552', '250290', '278420', '305891', '306402', '311443', '343936', '353967', '359143', '374089', '413609', '419171', '436947', '456661', '460979', '463021', '479702', '479752', '515527', '523809', '533743', '608244', '657464', '716399', '734920', '738722', '739000', '745284', '756557', '769585', '785443', '806705', '812277', '823532', '827533', '837274', '849589', '860536', '896393']","['009597', '020567', '026157', '030173', '030972', '038022', '096214', '102573', '114170', '116708', '119720', '122424', '123199', '160934', '161139', '163600', '206765', '209519', '210405', '220049', '223975', '228796', '229680', '234389', '241043', '249647', '259257', '261417', '265192', '327101', '329918', '330342', '340984', '345964', '348732', '352327', '364062', '378225', '407999', '420863', '424983', '439969', '466868', '470379', '471669', '487496', '508174', '518469', '526712', '532141', '551488', '570742', '581463', '589155', '595697', '598683', '604440', '614841', '618115', '624880', '631473', '638833', '641873', '642414', '655113', '673070', '684217', '686008', '688135', '715360', '721891', '724419', '730554', '738915', '739700', '762339', '766746', '776965', '781684', '789054', '805899', '814126', '820713', '832389', '834983', '858899', '872663', '878612', '879716', '902344', '920536', '927540', '931097', '940121', '940706', '942423', '946601', '967761', '978997', '982501']"
2017-09-16,170143,"['172', '647']","['340', '388']",71,"['170142', '170144']","['018054', '359597', '424930', '633909', '814198']","['311763', '368554', '492957', '619755', '732656', '838566', '845351', '898510', '919578', '976015']","['010652', '100914', '172358', '233563', '319283', '457909', '581625', '692439', '790098', '876510', '034287', '108775', '185927', '242281', '363110', '479376', '585038', '722639', '799779', '927090', '057316', '121377', '208639', '249609', '376567', '482409', '606631', '757039', '849299', '930832', '084097', '146840', '215731', '264721', '421948', '561200', '667988', '763518', '856499', '957353', '089972', '150646', '228474', '314037', '428931', '580833', '676280', '779779', '872650', '991662']","['000199', '077850', '166595', '276743', '329287', '425191', '523385', '696009', '782920', '900202', '000224', '103379', '172410', '281638', '349523', '431777', '533317', '708340', '805431', '902742', '014237', '110162', '180959', '286084', '355469', '436793', '589355', '709831', '808154', '903177', '018724', '125714', '203817', '287258', '363266', '455271', '592669', '720045', '809304', '908896', '028772', '136671', '216381', '291304', '383688', '455615', '616185', '722206', '809334', '932279', '042576', '144556', '218896', '293555', '388891', '481463', '625019', '726217', '840942', '944165', '042913', '147545', '237157', '297208', '399907', '488010', '643314', '728757', '855421', '948613', '057887', '151375', '249962', '305851', '409605', '489004', '652376', '739345', '856170', '981149', '068017', '151542', '252789', '315862', '424970', '498352', '676486', '747133', '856582', '981704', '071022', '158549', '261533', '320024', '425140', '516692', '686311', '769123', '861538', '999232']"
2017-09-01,143224,"['345', '679']","['195', '278']",65,"['143223', '143225']","['245802', '591396', '686809', '694048', '730988']","['084754', '154083', '223213', '226983', '264096', '366909', '412056', '524767', '570083', '641037']","['004091', '037907', '043342', '083483', '085791', '095967', '108037', '134119', '157433', '170226', '190735', '213034', '224166', '240677', '256149', '263371', '283928', '285013', '287071', '319172', '337757', '339064', '407884', '418005', '424238', '427786', '428022', '451347', '461658', '476426', '542288', '550530', '582554', '582915', '651508', '660776', '664109', '715977', '720988', '722345', '724593', '752724', '781347', '791879', '876629', '882196', '899124', '933793', '939668', '953063']","['029387', '039617', '040383', '106709', '109142', '114121', '128873', '132281', '133823', '138484', '138867', '154937', '156894', '159741', '167230', '180564', '183329', '208758', '211600', '213836', '220952', '224496', '225783', '232178', '241680', '251839', '281286', '291472', '293261', '311789', '321995', '348030', '358273', '362734', '364259', '370800', '376110', '410952', '415995', '430317', '430679', '440043', '444190', '446812', '451844', '466654', '477569', '488953', '503113', '503613', '516639', '518366', '519033', '526414', '561157', '563189', '576236', '576524', '580849', '602298', '602934', '621012', '632388', '634279', '637488', '640391', '678964', '680779', '681010', '687937', '692765', '698233', '698907', '701402', '709595', '736853', '739132', '756700', '769267', '807695', '809584', '819918', '820149', '821040', '855850', '857416', '860838', '866711', '889223', '907397', '915019', '923179', '930913', '948796', '950266', '975773', '982952', '983542', '985237', '987139']"
2017-08-16,715431,"['115', '302']","['253', '945']",37,"['715430', '715432']","['050755', '160502', '333699', '780589', '831514']","['052996', '225617', '250641', '405059', '449343', '536750', '595146', '692474', '726484', '730077']","['004485', '150289', '212628', '283410', '390517', '599179', '706379', '787856', '806567', '872000', '022824', '156238', '221340', '300187', '432642', '600815', '729865', '800093', '817787', '916450', '055909', '171206', '230363', '341919', '453205', '608804', '738435', '803794', '832863', '932568', '077788', '175538', '239136', '344030', '543939', '666395', '773262', '804463', '834982', '940765', '134941', '185177', '266094', '351288', '574494', '701423', '779529', '805108', '865922', '998017']","['005199', '153681', '252637', '357422', '405647', '492291', '566943', '634070', '787316', '873826', '027485', '162776', '264422', '365052', '410869', '499170', '585959', '636534', '792228', '884166', '031706', '215481', '276589', '365344', '414351', '507588', '586501', '660122', '803617', '884504', '041922', '216619', '283333', '373700', '415073', '508266', '590351', '691014', '803618', '905625', '047402', '219113', '289988', '380484', '416008', '509465', '594712', '709020', '806724', '909725', '050640', '226572', '306448', '386971', '420039', '524382', '595570', '711941', '823160', '935058', '074261', '227804', '329587', '394092', '428697', '537852', '597312', '714663', '833795', '937441', '077895', '229390', '332900', '395287', '429215', '553298', '616334', '743270', '834830', '947786', '084107', '232305', '353080', '399093', '443902', '561896', '618547', '766356', '839419', '956462', '088088', '249779', '355276', '404049', '474669', '563600', '622539', '767254', '860626', '966447']"
